Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
Current measurement#17 , 80eV         ,     902195,   902195, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#18 , 79eV         ,     902196,   902196, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#19 , 79eV         ,     902197,   902197, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#20 , 79eV         ,     902198,   902198, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#21 , 78eV         ,     902199,   902199, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#22 , 78eV         ,     902200,   902200, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#23 , 78eV         ,     902201,   902201, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#24 , 77eV         ,     902202,   902202, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#25 , 77eV         ,     902203,   902203, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#26 , 77eV         ,     902204,   902204, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#27 , 76eV         ,     902205,   902205, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#28 , 76eV         ,     902206,   902206, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#29 , 76eV         ,     902207,   902207, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#30 , 75eV         ,     902208,   902208, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#31 , 75eV         ,     902209,   902209, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#32 , 75eV         ,     902210,   902210, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#33 , 74eV         ,     902211,   902211, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#34 , 74eV         ,     902212,   902212, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#35 , 74eV         ,     902213,   902213, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#36 , 73eV         ,     902214,   902214, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#37 , 73eV         ,     902215,   902215, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#38 , 73eV         ,     902216,   902216, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#39 , 77eV         ,     902217,   902217, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,  0.21605,      0.00174,   0.00084,   0.21559,       0.00179,    0.00084
Current measurement#40 , 77eV         ,     902218,   902218, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,  0.19953,      0.00273,   0.00088,   0.20286,       0.00253,    0.00087
Current measurement#41 , 77eV         ,     902219,   902219, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,  0.19841,      0.00203,   0.00082,   0.20038,       0.00193,    0.00084
Current measurement#42 , 77eV         ,     902220,   902220, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,  0.18985,      0.00246,   0.00083,   0.19465,       0.00217,    0.00081
Current measurement#43 , 77eV         ,     902221,   902221, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.93kV    , -30             ,  0.18257,      0.00244,   0.00078,   0.1839 ,       0.00237,    0.00079
Current measurement#44 , 77eV         ,     902222,   902222, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.93kV    , -30             ,  0.18024,      0.00251,   0.00083,   0.18402,       0.00231,    0.00083
Current measurement#45 , 77eV         ,     902223,   902223, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.93kV    , -30             ,  0.17352,      0.00286,   0.00081,   0.17175,       0.00295,    0.00081
Current measurement#46 , 77eV         ,     902224,   902224, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.93kV    , -30             ,  0.17595,      0.00256,   0.00082,   0.17665,       0.00251,    0.0008
Current measurement#47 , 77eV         ,     902225,   902225, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.93kV    , -30             ,  0.16836,      0.00297,   0.00077,   0.1664 ,       0.0031 ,    0.00078
Current measurement#48 , 77eV         ,     902226,   902226, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.93kV    , -30             ,  0.16995,      0.00276,   0.00077,   0.16794,       0.00287,    0.00076
Current measurement#49 , 77eV         ,     902227,   902227, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.93kV    , -30             ,  0.16546,      0.00288,   0.00079,   0.16807,       0.00276,    0.00078
Current measurement#50 , 77eV         ,     902228,   902228, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
